wie	periode	wat	percentage
Mannen	2012	Laster	0.9
Mannen	2012	Chantage	0.3
Mannen	2012	Stalker	0.5
Mannen	2012	Bedreiging	0.6
Mannen	2012	Anders	1.1
Mannen	2013	Laster	1.0
Mannen	2013	Chantage	0.2
Mannen	2013	Stalker	0.5
Mannen	2013	Bedreiging	0.6
Mannen	2013	Anders	1.1
Mannen	2014	Laster	0.8
Mannen	2014	Chantage	0.5
Mannen	2014	Stalker	0.2
Mannen	2014	Bedreiging	0.6
Mannen	2014	Anders	1.0
Mannen	2015	Laster	0.9
Mannen	2015	Chantage	0.6
Mannen	2015	Stalker	0.3
Mannen	2015	Bedreiging	0.6
Mannen	2015	Anders	1.1
Mannen	2016	Laster	0.9
Mannen	2016	Chantage	0.5
Mannen	2016	Stalker	0.3
Mannen	2016	Bedreiging	0.7
Mannen	2016	Anders	1.0
Vrouwen	2012	Laster	1.0
Vrouwen	2012	Chantage	0.3
Vrouwen	2012	Stalker	1.0
Vrouwen	2012	Bedreiging	0.6
Vrouwen	2012	Anders	1.1
Vrouwen	2013	Laster	1.2
Vrouwen	2013	Chantage	0.2
Vrouwen	2013	Stalker	0.9
Vrouwen	2013	Bedreiging	0.5
Vrouwen	2013	Anders	1.3
Vrouwen	2014	Laster	1.0
Vrouwen	2014	Chantage	1.0
Vrouwen	2014	Stalker	0.3
Vrouwen	2014	Bedreiging	0.5
Vrouwen	2014	Anders	1.3
Vrouwen	2015	Laster	1.0
Vrouwen	2015	Chantage	1.1
Vrouwen	2015	Stalker	0.3
Vrouwen	2015	Bedreiging	0.5
Vrouwen	2015	Anders	1.1
Vrouwen	2016	Laster	1.0
Vrouwen	2016	Chantage	1.1
Vrouwen	2016	Stalker	0.3
Vrouwen	2016	Bedreiging	0.5
Vrouwen	2016	Anders	1.2
