wie	periode	wat	percentage
Iedereen	2012	Laster	1.0
Iedereen	2012	Chantage	0.3
Iedereen	2012	Stalker	0.7
Iedereen	2012	Bedreiging	0.6
Iedereen	2012	Anders	1.1
Iedereen	2013	Laster	1.1
Iedereen	2013	Chantage	0.2
Iedereen	2013	Stalker	0.7
Iedereen	2013	Bedreiging	0.6
Iedereen	2013	Anders	1.2
Iedereen	2014	Laster	0.9
Iedereen	2014	Chantage	0.2
Iedereen	2014	Stalker	0.7
Iedereen	2014	Bedreiging	0.6
Iedereen	2014	Anders	1.1
Iedereen	2015	Laster	1.0
Iedereen	2015	Chantage	0.8
Iedereen	2015	Stalker	0.3
Iedereen	2015	Bedreiging	0.5
Iedereen	2015	Anders	1.1
Iedereen	2016	Laster	1.0
Iedereen	2016	Chantage	0.8
Iedereen	2016	Stalker	0.3
Iedereen	2016	Bedreiging	0.6
Iedereen	2016	Anders	1.1
